id,split,depth,word,order_index,readout_setting,shots,hankel_entries
P0023S1,held_aux,2,3-1,1,R1,1000,e|31;3|1;31|e
P0024S0,cal,2,3-2,0,R0,2000,e|32;3|2;32|e
P0024S1,cal,2,3-2,1,R1,2000,e|32;3|2;32|e
P0025S0,cal,2,3-4,0,R0,2000,e|34;3|4;34|e
P0025S1,cal,2,3-4,1,R1,2000,e|34;3|4;34|e
P0026S0,held_aux,2,3-5,0,R0,1000,e|35;3|5;35|e
P0026S1,held_aux,2,3-5,1,R1,1000,e|35;3|5;35|e
P0027S0,cal,2,4-0,0,R0,2000,e|40;4|0;40|e
P0027S1,cal,2,4-0,1,R1,2000,e|40;4|0;40|e
P0028S0,held_aux,2,4-1,0,R0,1000,e|41;4|1;41|e
P0028S1,held_aux,2,4-1,1,R1,1000,e|41;4|1;41|e
P0029S0,held_aux,2,4-2,0,R0,1000,e|42;4|2;42|e
P0029S1,held_aux,2,4-2,1,R1,1000,e|42;4|2;42|e
P0030S0,cal,2,4-3,0,R0,2000,e|43;4|3;43|e
P0030S1,cal,2,4-3,1,R1,2000,e|43;4|3;43|e
P0031S0,cal,2,4-5,0,R0,2000,e|45;4|5;45|e
P0031S1,cal,2,4-5,1,R1,2000,e|45;4|5;45|e
P0032S0,cal,2,5-0,0,R0,2000,e|50;5|0;50|e
P0032S1,cal,2,5-0,1,R1,2000,e|50;5|0;50|e
P0033S0,held_aux,2,5-1,0,R0,1000,e|51;5|1;51|e
P0033S1,held_aux,2,5-1,1,R1,1000,e|51;5|1;51|e
P0034S0,held_aux,2,5-2,0,R0,1000,e|52;5|2;52|e
P0034S1,held_aux,2,5-2,1,R1,1000,e|52;5|2;52|e
P0035S0,held_aux,2,5-3,0,R0,1000,e|53;5|3;53|e
P0035S1,held_aux,2,5-3,1,R1,1000,e|53;5|3;53|e
P0036S0,cal,2,5-4,0,R0,2000,e|54;5|4;54|e
P0036S1,cal,2,5-4,1,R1,2000,e|54;5|4;54|e
P0037S0,cal,3,3-0-2,0,R0,2000,e|302;3|02;30|2;302|e
P0037S1,cal,3,3-0-2,1,R1,2000,e|302;3|02;30|2;302|e
P0038S0,cal,3,0-1-2,0,R0,2000,e|012;0|12;01|2;012|e
P0038S1,cal,3,0-1-2,1,R1,2000,e|012;0|12;01|2;012|e
P0039S0,cal,3,4-1-4,0,R0,2000,e|414;4|14;41|4;414|e
P0039S1,cal,3,4-1-4,1,R1,2000,e|414;4|14;41|4;414|e
P0040S0,cal,3,2-0-3,0,R0,2000,e|203;2|03;20|3;203|e
P0040S1,cal,3,2-0-3,1,R1,2000,e|203;2|03;20|3;203|e
P0041S0,cal,3,4-3-5,0,R0,2000,e|435;4|35;43|5;435|e
P0041S1,cal,3,4-3-5,1,R1,2000,e|435;4|35;43|5;435|e
P0042S0,cal,3,4-2-0,0,R0,2000,e|420;4|20;42|0;420|e
P0042S1,cal,3,4-2-0,1,R1,2000,e|420;4|20;42|0;420|e
P0043S0,cal,3,0-2-3,0,R0,2000,e|023;0|23;02|3;023|e
P0043S1,cal,3,0-2-3,1,R1,2000,e|023;0|23;02|3;023|e
P0044S0,cal,3,1-2-3,0,R0,2000,e|123;1|23;12|3;123|e
P0044S1,cal,3,1-2-3,1,R1,2000,e|123;1|23;12|3;123|e
P0045S0,cal,3,3-2-5,0,R0,2000,e|325;3|25;32|5;325|e
P0045S1,cal,3,3-2-5,1,R1,2000,e|325;3|25;32|5;325|e
P0046S0,cal,3,0-3-4,0,R0,2000,e|034;0|34;03|4;034|e
P0046S1,cal,3,0-3-4,1,R1,2000,e|034;0|34;03|4;034|e
P0047S0,cal,3,2-1-2,0,R0,2000,e|212;2|12;21|2;212|e
P0047S1,cal,3,2-1-2,1,R1,2000,e|212;2|12;21|2;212|e
P0048S0,cal,3,0-3-2,0,R0,2000,e|032;0|32;03|2;032|e
P0048S1,cal,3,0-3-2,1,R1,2000,e|032;0|32;03|2;032|e
P0049S0,cal,3,1-4-3,0,R0,2000,e|143;1|43;14|3;143|e
P0049S1,cal,3,1-4-3,1,R1,2000,e|143;1|43;14|3;143|e
P0050S0,cal,3,0-4-5,0,R0,2000,e|045;0|45;04|5;045|e
P0050S1,cal,3,0-4-5,1,R1,2000,e|045;0|45;04|5;045|e
P0051S0,cal,3,4-3-1,0,R0,2000,e|431;4|31;43|1;431|e
P0051S1,cal,3,4-3-1,1,R1,2000,e|431;4|31;43|1;431|e
P0052S0,cal,3,4-3-4,0,R0,2000,e|434;4|34;43|4;434|e
P0052S1,cal,3,4-3-4,1,R1,2000,e|434;4|34;43|4;434|e
P0053S0,cal,3,5-0-2,0,R0,2000,e|502;5|02;50|2;502|e
P0053S1,cal,3,5-0-2,1,R1,2000,e|502;5|02;50|2;502|e
P0054S0,cal,3,1-0-2,0,R0,2000,e|102;1|02;10|2;102|e
P0054S1,cal,3,1-0-2,1,R1,2000,e|102;1|02;10|2;102|e
P0055S0,cal,3,4-1-3,0,R0,2000,e|413;4|13;41|3;413|e
P0055S1,cal,3,4-1-3,1,R1,2000,e|413;4|13;41|3;413|e
P0056S0,cal,3,5-2-1,0,R0,2000,e|521;5|21;52|1;521|e
P0056S1,cal,3,5-2-1,1,R1,2000,e|521;5|21;52|1;521|e
P0057S0,cal,3,3-5-3,0,R0,2000,e|353;3|53;35|3;353|e
P0057S1,cal,3,3-5-3,1,R1,2000,e|353;3|53;35|3;353|e
P0058S0,cal,3,4-0-2,0,R0,2000,e|402;4|02;40|2;402|e
P0058S1,cal,3,4-0-2,1,R1,2000,e|402;4|02;40|2;402|e
P0059S0,cal,3,1-5-3,0,R0,2000,e|153;1|53;15|3;153|e
P0059S1,cal,3,1-5-3,1,R1,2000,e|153;1|53;15|3;153|e
P0060S0,cal,3,0-1-0,0,R0,2000,e|010;0|10;01|0;010|e
P0060S1,cal,3,0-1-0,1,R1,2000,e|010;0|10;01|0;010|e
P0061S0,held_aux,3,2-4-5,0,R0,1000,e|245;2|45;24|5;245|e
P0061S1,held_aux,3,2-4-5,1,R1,1000,e|245;2|45;24|5;245|e
P0062S0,held_aux,3,3-1-0,0,R0,1000,e|310;3|10;31|0;310|e
P0062S1,held_aux,3,3-1-0,1,R1,1000,e|310;3|10;31|0;310|e
P0063S0,held_aux,3,4-0-5,0,R0,1000,e|405;4|05;40|5;405|e
P0063S1,held_aux,3,4-0-5,1,R1,1000,e|405;4|05;40|5;405|e
P0064S0,held_aux,3,5-4-5,0,R0,1000,e|545;5|45;54|5;545|e
P0064S1,held_aux,3,5-4-5,1,R1,1000,e|545;5|45;54|5;545|e
P0065S0,held_aux,3,5-3-2,0,R0,1000,e|532;5|32;53|2;532|e
P0065S1,held_aux,3,5-3-2,1,R1,1000,e|532;5|32;53|2;532|e
P0066S0,held_aux,3,5-4-1,0,R0,1000,e|541;5|41;54|1;541|e
P0066S1,held_aux,3,5-4-1,1,R1,1000,e|541;5|41;54|1;541|e
P0067S0,held_aux,3,2-1-0,0,R0,1000,e|210;2|10;21|0;210|e
P0067S1,held_aux,3,2-1-0,1,R1,1000,e|210;2|10;21|0;210|e
P0068S0,held_aux,3,0-3-1,0,R0,1000,e|031;0|31;03|1;031|e
P0068S1,held_aux,3,0-3-1,1,R1,1000,e|031;0|31;03|1;031|e
P0069S0,held_aux,3,4-5-3,0,R0,1000,e|453;4|53;45|3;453|e
P0069S1,held_aux,3,4-5-3,1,R1,1000,e|453;4|53;45|3;453|e
P0070S0,held_aux,3,0-5-3,0,R0,1000,e|053;0|53;05|3;053|e
P0070S1,held_aux,3,0-5-3,1,R1,1000,e|053;0|53;05|3;053|e
P0071S0,held_aux,3,4-0-3,0,R0,1000,e|403;4|03;40|3;403|e
P0071S1,held_aux,3,4-0-3,1,R1,1000,e|403;4|03;40|3;403|e
P0072S0,held_aux,3,4-5-1,0,R0,1000,e|451;4|51;45|1;451|e
P0072S1,held_aux,3,4-5-1,1,R1,1000,e|451;4|51;45|1;451|e
P0073S0,held_aux,3,2-4-1,0,R0,1000,e|241;2|41;24|1;241|e
P0073S1,held_aux,3,2-4-1,1,R1,1000,e|241;2|41;24|1;241|e
P0074S0,held_aux,3,3-0-1,0,R0,1000,e|301;3|01;30|1;301|e
P0074S1,held_aux,3,3-0-1,1,R1,1000,e|301;3|01;30|1;301|e
P0075S0,held_aux,3,2-3-4,0,R0,1000,e|234;2|34;23|4;234|e
P0075S1,held_aux,3,2-3-4,1,R1,1000,e|234;2|34;23|4;234|e
P0076S0,held_aux,3,3-5-0,0,R0,1000,e|350;3|50;35|0;350|e
P0076S1,held_aux,3,3-5-0,1,R1,1000,e|350;3|50;35|0;350|e
P0077S0,held_aux,3,2-4-2,0,R0,1000,e|242;2|42;24|2;242|e
P0077S1,held_aux,3,2-4-2,1,R1,1000,e|242;2|42;24|2;242|e
P0078S0,held_aux,3,4-5-2,0,R0,1000,e|452;4|52;45|2;452|e
P0078S1,held_aux,3,4-5-2,1,R1,1000,e|452;4|52;45|2;452|e
P0079S0,held_aux,3,0-3-5,0,R0,1000,e|035;0|35;03|5;035|e
P0079S1,held_aux,3,0-3-5,1,R1,1000,e|035;0|35;03|5;035|e
P0080S0,held_aux,3,4-0-1,0,R0,1000,e|401;4|01;40|1;401|e
P0080S1,held_aux,3,4-0-1,1,R1,1000,e|401;4|01;40|1;401|e
P0081S0,held_aux,3,2-0-1,0,R0,1000,e|201;2|01;20|1;201|e
P0081S1,held_aux,3,2-0-1,1,R1,1000,e|201;2|01;20|1;201|e
P0082S0,held_aux,3,2-0-4,0,R0,1000,e|204;2|04;20|4;204|e
P0082S1,held_aux,3,2-0-4,1,R1,1000,e|204;2|04;20|4;204|e
P0083S0,held_aux,3,1-0-5,0,R0,1000,e|105;1|05;10|5;105|e
P0083S1,held_aux,3,1-0-5,1,R1,1000,e|105;1|05;10|5;105|e
P0084S0,held_aux,3,1-0-4,0,R0,1000,e|104;1|04;10|4;104|e
P0084S1,held_aux,3,1-0-4,1,R1,1000,e|104;1|04;10|4;104|e
P0085S0,held_aux,3,3-1-2,0,R0,1000,e|312;3|12;31|2;312|e
P0085S1,held_aux,3,3-1-2,1,R1,1000,e|312;3|12;31|2;312|e
P0086S0,held_aux,3,5-0-1,0,R0,1000,e|501;5|01;50|1;501|e
P0086S1,held_aux,3,5-0-1,1,R1,1000,e|501;5|01;50|1;501|e
P0087S0,held_aux,3,4-5-4,0,R0,1000,e|454;4|54;45|4;454|e
P0087S1,held_aux,3,4-5-4,1,R1,1000,e|454;4|54;45|4;454|e
P0088S0,held_aux,3,5-2-5,0,R0,1000,e|525;5|25;52|5;525|e
P0088S1,held_aux,3,5-2-5,1,R1,1000,e|525;5|25;52|5;525|e
P0089S0,held_aux,3,3-1-5,0,R0,1000,e|315;3|15;31|5;315|e
P0089S1,held_aux,3,3-1-5,1,R1,1000,e|315;3|15;31|5;315|e
P0090S0,held_aux,3,5-2-0,0,R0,1000,e|520;5|20;52|0;520|e
P0090S1,held_aux,3,5-2-0,1,R1,1000,e|520;5|20;52|0;520|e
P0091S0,held_aux,3,5-1-5,0,R0,1000,e|515;5|15;51|5;515|e
P0091S1,held_aux,3,5-1-5,1,R1,1000,e|515;5|15;51|5;515|e
P0092S0,held_aux,3,4-5-0,0,R0,1000,e|450;4|50;45|0;450|e
P0092S1,held_aux,3,4-5-0,1,R1,1000,e|450;4|50;45|0;450|e
P0093S0,held_aux,3,5-3-4,0,R0,1000,e|534;5|34;53|4;534|e
P0093S1,held_aux,3,5-3-4,1,R1,1000,e|534;5|34;53|4;534|e
P0094S0,held_aux,3,4-2-1,0,R0,1000,e|421;4|21;42|1;421|e
P0094S1,held_aux,3,4-2-1,1,R1,1000,e|421;4|21;42|1;421|e
P0095S0,held_aux,3,5-0-4,0,R0,1000,e|504;5|04;50|4;504|e
P0095S1,held_aux,3,5-0-4,1,R1,1000,e|504;5|04;50|4;504|e
P0096S0,held_aux,3,3-2-3,0,R0,1000,e|323;3|23;32|3;323|e
P0096S1,held_aux,3,3-2-3,1,R1,1000,e|323;3|23;32|3;323|e
P0097S0,held_aux,3,0-1-3,0,R0,1000,e|013;0|13;01|3;013|e
P0097S1,held_aux,3,0-1-3,1,R1,1000,e|013;0|13;01|3;013|e
P0098S0,held_aux,3,1-2-4,0,R0,1000,e|124;1|24;12|4;124|e
P0098S1,held_aux,3,1-2-4,1,R1,1000,e|124;1|24;12|4;124|e
P0099S0,held_aux,3,1-4-1,0,R0,1000,e|141;1|41;14|1;141|e
P0099S1,held_aux,3,1-4-1,1,R1,1000,e|141;1|41;14|1;141|e
P0100S0,held_aux,3,2-5-0,0,R0,1000,e|250;2|50;25|0;250|e
P0100S1,held_aux,3,2-5-0,1,R1,1000,e|250;2|50;25|0;250|e
P0101S0,held_aux,3,3-4-3,0,R0,1000,e|343;3|43;34|3;343|e
P0101S1,held_aux,3,3-4-3,1,R1,1000,e|343;3|43;34|3;343|e
P0102S0,held_aux,3,0-4-2,0,R0,1000,e|042;0|42;04|2;042|e
P0102S1,held_aux,3,0-4-2,1,R1,1000,e|042;0|42;04|2;042|e
P0103S0,held_aux,3,3-2-4,0,R0,1000,e|324;3|24;32|4;324|e
P0103S1,held_aux,3,3-2-4,1,R1,1000,e|324;3|24;32|4;324|e
P0104S0,held_aux,3,0-5-4,0,R0,1000,e|054;0|54;05|4;054|e
P0104S1,held_aux,3,0-5-4,1,R1,1000,e|054;0|54;05|4;054|e
P0105S0,held_aux,3,2-5-3,0,R0,1000,e|253;2|53;25|3;253|e
P0105S1,held_aux,3,2-5-3,1,R1,1000,e|253;2|53;25|3;253|e
P0106S0,held_aux,3,5-4-3,0,R0,1000,e|543;5|43;54|3;543|e
P0106S1,held_aux,3,5-4-3,1,R1,1000,e|543;5|43;54|3;543|e
P0107S0,held_aux,3,5-4-2,0,R0,1000,e|542;5|42;54|2;542|e
P0107S1,held_aux,3,5-4-2,1,R1,1000,e|542;5|42;54|2;542|e
P0108S0,held_aux,3,5-2-3,0,R0,1000,e|523;5|23;52|3;523|e
P0108S1,held_aux,3,5-2-3,1,R1,1000,e|523;5|23;52|3;523|e
P0109S0,held_aux,3,5-2-4,0,R0,1000,e|524;5|24;52|4;524|e
P0109S1,held_aux,3,5-2-4,1,R1,1000,e|524;5|24;52|4;524|e
P0110S0,held_aux,3,1-3-5,0,R0,1000,e|135;1|35;13|5;135|e
P0110S1,held_aux,3,1-3-5,1,R1,1000,e|135;1|35;13|5;135|e
P0111S0,held_aux,3,0-5-2,0,R0,1000,e|052;0|52;05|2;052|e
P0111S1,held_aux,3,0-5-2,1,R1,1000,e|052;0|52;05|2;052|e
P0112S0,held_aux,3,1-3-1,0,R0,1000,e|131;1|31;13|1;131|e
P0112S1,held_aux,3,1-3-1,1,R1,1000,e|131;1|31;13|1;131|e
P0113S0,held_aux,3,5-0-5,0,R0,1000,e|505;5|05;50|5;505|e
P0113S1,held_aux,3,5-0-5,1,R1,1000,e|505;5|05;50|5;505|e
P0114S0,held_aux,3,4-1-2,0,R0,1000,e|412;4|12;41|2;412|e
P0114S1,held_aux,3,4-1-2,1,R1,1000,e|412;4|12;41|2;412|e
P0115S0,held_aux,3,2-4-0,0,R0,1000,e|240;2|40;24|0;240|e
P0115S1,held_aux,3,2-4-0,1,R1,1000,e|240;2|40;24|0;240|e
P0116S0,held_aux,3,3-0-4,0,R0,1000,e|304;3|04;30|4;304|e
P0116S1,held_aux,3,3-0-4,1,R1,1000,e|304;3|04;30|4;304|e
P0117S0,held_aux,3,3-5-2,0,R0,1000,e|352;3|52;35|2;352|e
P0117S1,held_aux,3,3-5-2,1,R1,1000,e|352;3|52;35|2;352|e
P0118S0,held_aux,3,0-5-1,0,R0,1000,e|051;0|51;05|1;051|e
P0118S1,held_aux,3,0-5-1,1,R1,1000,e|051;0|51;05|1;051|e
P0119S0,held_aux,3,0-2-0,0,R0,1000,e|020;0|20;02|0;020|e
P0119S1,held_aux,3,0-2-0,1,R1,1000,e|020;0|20;02|0;020|e
P0120S0,held_aux,3,1-0-3,0,R0,1000,e|103;1|03;10|3;103|e
P0120S1,held_aux,3,1-0-3,1,R1,1000,e|103;1|03;10|3;103|e
P0121S0,held_aux,3,4-2-3,0,R0,1000,e|423;4|23;42|3;423|e
P0121S1,held_aux,3,4-2-3,1,R1,1000,e|423;4|23;42|3;423|e
P0122S0,held_aux,3,4-0-4,0,R0,1000,e|404;4|04;40|4;404|e
P0122S1,held_aux,3,4-0-4,1,R1,1000,e|404;4|04;40|4;404|e
P0123S0,held_aux,3,2-1-3,0,R0,1000,e|213;2|13;21|3;213|e
P0123S1,held_aux,3,2-1-3,1,R1,1000,e|213;2|13;21|3;213|e
P0124S0,held_aux,3,3-2-1,0,R0,1000,e|321;3|21;32|1;321|e
P0124S1,held_aux,3,3-2-1,1,R1,1000,e|321;3|21;32|1;321|e
P0125S0,held_aux,3,2-1-4,0,R0,1000,e|214;2|14;21|4;214|e
P0125S1,held_aux,3,2-1-4,1,R1,1000,e|214;2|14;21|4;214|e
P0126S0,held_aux,3,2-0-5,0,R0,1000,e|205;2|05;20|5;205|e
P0126S1,held_aux,3,2-0-5,1,R1,1000,e|205;2|05;20|5;205|e
P0127S0,held_aux,3,1-5-4,0,R0,1000,e|154;1|54;15|4;154|e
P0127S1,held_aux,3,1-5-4,1,R1,1000,e|154;1|54;15|4;154|e
P0128S0,held_aux,3,3-5-4,0,R0,1000,e|354;3|54;35|4;354|e
P0128S1,held_aux,3,3-5-4,1,R1,1000,e|354;3|54;35|4;354|e
P0129S0,held_aux,3,2-5-2,0,R0,1000,e|252;2|52;25|2;252|e
P0129S1,held_aux,3,2-5-2,1,R1,1000,e|252;2|52;25|2;252|e
P0130S0,held_aux,3,0-4-1,0,R0,1000,e|041;0|41;04|1;041|e
P0130S1,held_aux,3,0-4-1,1,R1,1000,e|041;0|41;04|1;041|e
P0131S0,held_aux,3,1-4-2,0,R0,1000,e|142;1|42;14|2;142|e
P0131S1,held_aux,3,1-4-2,1,R1,1000,e|142;1|42;14|2;142|e
P0132S0,held_aux,3,4-3-0,0,R0,1000,e|430;4|30;43|0;430|e
P0132S1,held_aux,3,4-3-0,1,R1,1000,e|430;4|30;43|0;430|e
P0133S0,held_aux,3,0-2-4,0,R0,1000,e|024;0|24;02|4;024|e
P0133S1,held_aux,3,0-2-4,1,R1,1000,e|024;0|24;02|4;024|e
P0134S0,held_aux,3,0-4-0,0,R0,1000,e|040;0|40;04|0;040|e
P0134S1,held_aux,3,0-4-0,1,R1,1000,e|040;0|40;04|0;040|e
P0135S0,held_aux,3,1-2-0,0,R0,1000,e|120;1|20;12|0;120|e
P0135S1,held_aux,3,1-2-0,1,R1,1000,e|120;1|20;12|0;120|e
P0136S0,held_aux,3,1-5-2,0,R0,1000,e|152;1|52;15|2;152|e
P0136S1,held_aux,3,1-5-2,1,R1,1000,e|152;1|52;15|2;152|e
P0137S0,held_aux,3,2-0-2,0,R0,1000,e|202;2|02;20|2;202|e
P0137S1,held_aux,3,2-0-2,1,R1,1000,e|202;2|02;20|2;202|e
P0138S0,held_aux,3,0-2-1,0,R0,1000,e|021;0|21;02|1;021|e
P0138S1,held_aux,3,0-2-1,1,R1,1000,e|021;0|21;02|1;021|e
P0139S0,held_aux,3,5-3-1,0,R0,1000,e|531;5|31;53|1;531|e
P0139S1,held_aux,3,5-3-1,1,R1,1000,e|531;5|31;53|1;531|e
P0140S0,held_aux,3,1-3-4,0,R0,1000,e|134;1|34;13|4;134|e
P0140S1,held_aux,3,1-3-4,1,R1,1000,e|134;1|34;13|4;134|e
P0141S0,held_aux,3,5-0-3,0,R0,1000,e|503;5|03;50|3;503|e
P0141S1,held_aux,3,5-0-3,1,R1,1000,e|503;5|03;50|3;503|e
P0142S0,held_aux,3,2-3-1,0,R0,1000,e|231;2|31;23|1;231|e
P0142S1,held_aux,3,2-3-1,1,R1,1000,e|231;2|31;23|1;231|e
P0143S0,held_aux,3,2-3-0,0,R0,1000,e|230;2|30;23|0;230|e
P0143S1,held_aux,3,2-3-0,1,R1,1000,e|230;2|30;23|0;230|e
P0144S0,held_aux,3,5-3-5,0,R0,1000,e|535;5|35;53|5;535|e
P0144S1,held_aux,3,5-3-5,1,R1,1000,e|535;5|35;53|5;535|e
P0145S0,held_aux,3,3-4-2,0,R0,1000,e|342;3|42;34|2;342|e
P0145S1,held_aux,3,3-4-2,1,R1,1000,e|342;3|42;34|2;342|e
P0146S0,held_aux,3,0-2-5,0,R0,1000,e|025;0|25;02|5;025|e
P0146S1,held_aux,3,0-2-5,1,R1,1000,e|025;0|25;02|5;025|e
P0147S0,held_aux,3,4-2-4,0,R0,1000,e|424;4|24;42|4;424|e
P0147S1,held_aux,3,4-2-4,1,R1,1000,e|424;4|24;42|4;424|e
P0148S0,held_aux,3,2-4-3,0,R0,1000,e|243;2|43;24|3;243|e
P0148S1,held_aux,3,2-4-3,1,R1,1000,e|243;2|43;24|3;243|e
P0149S0,held_aux,3,1-3-2,0,R0,1000,e|132;1|32;13|2;132|e
P0149S1,held_aux,3,1-3-2,1,R1,1000,e|132;1|32;13|2;132|e
P0150S0,held_aux,3,2-1-5,0,R0,1000,e|215;2|15;21|5;215|e
P0150S1,held_aux,3,2-1-5,1,R1,1000,e|215;2|15;21|5;215|e
P0151S0,held_aux,3,5-1-2,0,R0,1000,e|512;5|12;51|2;512|e
P0151S1,held_aux,3,5-1-2,1,R1,1000,e|512;5|12;51|2;512|e
P0152S0,held_aux,3,5-4-0,0,R0,1000,e|540;5|40;54|0;540|e
P0152S1,held_aux,3,5-4-0,1,R1,1000,e|540;5|40;54|0;540|e
P0153S0,held_aux,3,3-1-4,0,R0,1000,e|314;3|14;31|4;314|e
P0153S1,held_aux,3,3-1-4,1,R1,1000,e|314;3|14;31|4;314|e
P0154S0,held_aux,3,1-2-1,0,R0,1000,e|121;1|21;12|1;121|e
P0154S1,held_aux,3,1-2-1,1,R1,1000,e|121;1|21;12|1;121|e
P0155S0,held_aux,3,3-0-5,0,R0,1000,e|305;3|05;30|5;305|e
P0155S1,held_aux,3,3-0-5,1,R1,1000,e|305;3|05;30|5;305|e
P0156S0,held_aux,3,4-3-2,0,R0,1000,e|432;4|32;43|2;432|e
P0156S1,held_aux,3,4-3-2,1,R1,1000,e|432;4|32;43|2;432|e
P0157S0,held_aux,3,1-0-1,0,R0,1000,e|101;1|01;10|1;101|e
P0157S1,held_aux,3,1-0-1,1,R1,1000,e|101;1|01;10|1;101|e
P0158S0,held_aux,3,1-3-0,0,R0,1000,e|130;1|30;13|0;130|e
P0158S1,held_aux,3,1-3-0,1,R1,1000,e|130;1|30;13|0;130|e
P0159S0,held_aux,3,3-4-5,0,R0,1000,e|345;3|45;34|5;345|e
P0159S1,held_aux,3,3-4-5,1,R1,1000,e|345;3|45;34|5;345|e
P0160S0,held_aux,3,0-4-3,0,R0,1000,e|043;0|43;04|3;043|e
P0160S1,held_aux,3,0-4-3,1,R1,1000,e|043;0|43;04|3;043|e
P0161S0,held_aux,3,1-5-0,0,R0,1000,e|150;1|50;15|0;150|e
P0161S1,held_aux,3,1-5-0,1,R1,1000,e|150;1|50;15|0;150|e
P0162S0,held_aux,3,0-1-5,0,R0,1000,e|015;0|15;01|5;015|e
P0162S1,held_aux,3,0-1-5,1,R1,1000,e|015;0|15;01|5;015|e
P0163S0,held_aux,3,4-1-0,0,R0,1000,e|410;4|10;41|0;410|e
P0163S1,held_aux,3,4-1-0,1,R1,1000,e|410;4|10;41|0;410|e
P0164S0,held_aux,3,3-0-3,0,R0,1000,e|303;3|03;30|3;303|e
P0164S1,held_aux,3,3-0-3,1,R1,1000,e|303;3|03;30|3;303|e
P0165S0,held_aux,3,3-2-0,0,R0,1000,e|320;3|20;32|0;320|e
P0165S1,held_aux,3,3-2-0,1,R1,1000,e|320;3|20;32|0;320|e
P0166S0,held_aux,3,1-5-1,0,R0,1000,e|151;1|51;15|1;151|e
P0166S1,held_aux,3,1-5-1,1,R1,1000,e|151;1|51;15|1;151|e
P0167S0,held_aux,3,3-1-3,0,R0,1000,e|313;3|13;31|3;313|e
P0167S1,held_aux,3,3-1-3,1,R1,1000,e|313;3|13;31|3;313|e
P0168S0,held_aux,3,0-5-0,0,R0,1000,e|050;0|50;05|0;050|e
P0168S1,held_aux,3,0-5-0,1,R1,1000,e|050;0|50;05|0;050|e
P0169S0,held_aux,3,5-3-0,0,R0,1000,e|530;5|30;53|0;530|e
P0169S1,held_aux,3,5-3-0,1,R1,1000,e|530;5|30;53|0;530|e
P0170S0,held_aux,3,5-1-4,0,R0,1000,e|514;5|14;51|4;514|e
P0170S1,held_aux,3,5-1-4,1,R1,1000,e|514;5|14;51|4;514|e
